merchant,description,amount,category,date,timestamp
FAMILY DOCTOR,doctor consultation,2476.15,HEALTHCARE,2025-07-14,2025-07-14 10:09:56
Zomato,UPI Payment - canteen recharge,100.0,FOOD_DINING,2024-05-13,2024-05-13 10:09:56
Haldirams,breakfast delivery,148.64,FOOD_DINING,2025-03-31,2025-03-31 10:09:56
Faasos,restaurant bill,400.0,FOOD_DINING,2024-12-10,2024-12-10 10:09:56
Shell,ola booking,500.0,TRANSPORTATION,2025-07-27,2025-07-27 10:09:56
Tikona,electricity bill,1500.0,UTILITIES,2025-06-15,2025-06-15 10:09:56
Sagar Ratna,party order,259.47,FOOD_DINING,2025-01-31,2025-01-31 10:09:56
Subway,IMPS Payment - snacks order,780.63,FOOD_DINING,2025-04-16,2025-04-16 10:09:56
ICICI Prudential,retirement fund,10000.0,INVESTMENT,2025-09-03,2025-09-03 10:09:56
Photography,service charges,10809.44,MISCELLANEOUS,2024-10-26,2024-10-26 10:09:56
Auto Driver,cab ride,50.0,TRANSPORTATION,2025-03-31,2025-03-31 10:09:56
Pharmacy,physiotherapy,431.65,HEALTHCARE,2025-03-23,2025-03-23 10:09:56
Spa,personal care,460.28,MISCELLANEOUS,2025-08-17,2025-08-17 10:09:56
workshop,online course,10000.0,EDUCATION,2025-02-01,2025-02-01 10:09:56
Pathology Lab,physiotherapy,4899.95,HEALTHCARE,2025-02-12,2025-02-12 10:09:56
Axis Mutual Fund,portfolio investment,2000.0,INVESTMENT,2025-08-01,2025-08-01 10:09:56
Airtel,broadband payment,4142.75,UTILITIES,2025-01-02,2025-01-02 10:09:56
Upstox,stock purchase,200333.22,INVESTMENT,2024-11-23,2024-11-23 10:09:56
Disney+ Hotstar,youtube premium,1200.69,ENTERTAINMENT,2025-09-02,2025-09-02 10:09:56
Sagar Ratna,breakfast delivery,1681.25,FOOD_DINING,2025-03-26,2025-03-26 10:09:56
Franklin Templeton,Mobile Banking - retirement fund,228532.27,INVESTMENT,2025-09-13,2025-09-13 10:09:56
Flipkart,online shopping,1000.0,SHOPPING,2025-04-14,2025-04-14 10:09:56
ATM Withdrawal,maintenance,21698.58,MISCELLANEOUS,2025-04-18,2025-04-18 10:09:56
Zara,books order,168.4,SHOPPING,2024-07-09,2024-07-09 10:09:56
VEDANTU,Credit Card Payment - course fee,50000.0,EDUCATION,2025-06-01,2025-06-01 10:09:56
Franklin Templeton,Credit Card Payment - systematic investment,812.67,INVESTMENT,2025-04-23,2025-04-23 10:09:56
Donation,repair work,88.33,MISCELLANEOUS,2024-12-14,2024-12-14 10:09:56
Stationery Shop,school fee,2106.4,EDUCATION,2024-11-09,2024-11-09 10:09:56
Canteen Store,food court pymnt,416.05,FOOD_DINING,2024-08-12,2024-08-12 10:09:56
Croma Pvt Ltd,QR Code Payment - medicine purchase,44470.19,SHOPPING,2025-07-03,2025-07-03 10:09:56
Adani Power,gas bill,4627.48,UTILITIES,2024-05-17,2024-05-17 10:09:56
Tax Payment Pvt Ltd,cash withdrawal,500.0,MISCELLANEOUS,2025-01-13,2025-01-13 10:09:56
Stationery Shop,online course,1000.0,EDUCATION,2025-06-08,2025-06-08 10:09:56
Life Insurance,stock purchase,67050.58,INVESTMENT,2025-08-19,2025-08-19 10:09:56
Bank Charges,tax payment,10469.75,MISCELLANEOUS,2024-10-24,2024-10-24 10:09:56
Vi,Mobile Banking - water bill,343.7,UTILITIES,2025-05-19,2025-05-19 10:09:56
DSP BlackRock,portfolio investment,225633.31,INVESTMENT,2024-11-09,2024-11-09 10:09:56
act fibernet,dth recharge,2000.0,UTILITIES,2025-02-16,2025-02-16 10:09:56
Pharmacy,Wallet Payment - doctor consultation,2000.0,HEALTHCARE,2024-09-07,2024-09-07 10:09:56
Pathology Lab,dental treatment,1250.22,HEALTHCARE,2025-07-07,2025-07-07 10:09:56
Franklin Templeton,investment,25000.0,INVESTMENT,2025-02-01,2025-02-01 10:09:56
Eye Specialist,dental treatment,500.0,HEALTHCARE,2024-08-15,2024-08-15 10:09:56
Concert Tickets,Wallet Payment - streaming subscription,1421.24,ENTERTAINMENT,2025-08-17,2025-08-17 10:09:56
Faasos,party order,800.0,FOOD_DINING,2024-09-20,2024-09-20 10:09:56
Family Doctor,dental treatment,3000.0,HEALTHCARE,2024-10-31,2024-10-31 10:09:56
BookMyShow Pvt Ltd,youtube premium,203.32,ENTERTAINMENT,2024-12-10,2024-12-10 10:09:56
Parking Fee,auto fare,425.88,TRANSPORTATION,2025-05-02,2025-05-02 10:09:56
SunDirect,Wallet Payment - phone bill,1000.0,UTILITIES,2024-07-26,2024-07-26 10:09:56
WBSEDCL,phone bill,1000.0,UTILITIES,2025-04-25,2025-04-25 10:09:56
Health Insurance Ltd,health insurance,2000.0,HEALTHCARE,2024-09-23,2024-09-23 10:09:56
Electronics Shop,RTGS Transfer - home appliances,2000.0,SHOPPING,2024-07-23,2024-07-23 10:09:56
Charity,service fee,1000.0,MISCELLANEOUS,2024-05-29,2024-05-29 10:09:56
Flipkart,IMPS Payment - online shopping,15000.0,SHOPPING,2024-06-19,2024-06-19 10:09:56
Petrol Pump,ola booking,1000.0,TRANSPORTATION,2025-01-16,2025-01-16 10:09:56
Auto Driver,cab ride,120.0,TRANSPORTATION,2025-08-08,2025-08-08 10:09:56
Biryani Blues,party order,800.0,FOOD_DINING,2024-11-18,2024-11-18 10:09:56
Metro Card,ola booking,1908.73,TRANSPORTATION,2025-07-28,2025-07-28 10:09:56
Charity,personal care,29818.94,MISCELLANEOUS,2025-06-01,2025-06-01 10:09:56
WBSEDCL,cable bill,300.0,UTILITIES,2025-09-03,2025-09-03 10:09:56
YouTube Premium,movie ticket,399.0,ENTERTAINMENT,2025-01-03,2025-01-03 10:09:56
DIAGNOSTIC CENTER,RTGS Transfer - doctor consultation,25280.37,HEALTHCARE,2025-03-16,2025-03-16 10:09:56
Metro Card,bus ticket,1736.81,TRANSPORTATION,2024-08-17,2024-08-17 10:09:56
MX Player,prime subscription,369.89,ENTERTAINMENT,2025-01-18,2025-01-18 10:09:56
Gas Agency,dth recharge,1267.31,UTILITIES,2024-08-18,2024-08-18 10:09:56
AIIMS,health insurance,13119.71,HEALTHCARE,2025-09-06,2025-09-06 10:09:56
Vistara,toll payment,335.56,TRANSPORTATION,2025-05-06,2025-05-06 10:09:56
SBI Securities,stock purchase,1000.0,INVESTMENT,2025-06-25,2025-06-25 10:09:56
Salon India,maintenance,101.67,MISCELLANEOUS,2025-07-29,2025-07-29 10:09:56
ACT Fibernet,cable bill,5281.57,UTILITIES,2025-08-06,2025-08-06 10:09:56
Government Services,RTGS Transfer - gift purchase,2000.0,MISCELLANEOUS,2024-11-26,2024-11-26 10:09:56
Spa Online,gift purchase,10000.0,MISCELLANEOUS,2024-09-08,2024-09-08 10:09:56
Cleaning Service,gift purchase,2000.0,MISCELLANEOUS,2025-09-07,2025-09-07 10:09:56
DiagnosticCenter,physiotherapy,10000.0,HEALTHCARE,2025-06-09,2025-06-09 10:09:56
Eye Specialist,health insurance,2000.0,HEALTHCARE,2025-06-05,2025-06-05 10:09:56
Sun Direct,gas bill,800.0,UTILITIES,2025-03-25,2025-03-25 10:09:56
Health Insurance,IMPS Payment - physiotherapy,1000.0,HEALTHCARE,2025-09-30,2025-09-30 10:09:56
Tata Power,maintenance charges,1500.0,UTILITIES,2025-05-11,2025-05-11 10:09:56
Spotify.com,concert booking,799.0,ENTERTAINMENT,2024-05-28,2024-05-28 10:09:56
ATM Withdrawal,Mobile Banking - repair work,500.0,MISCELLANEOUS,2025-06-15,2025-06-15 10:09:56
KSEB,gas bill,1500.0,UTILITIES,2025-08-21,2025-08-21 10:09:56
Online Course,coaching classes,49044.93,EDUCATION,2024-09-02,2024-09-02 10:09:56
ICICI Prudential,bond investment,100000.0,INVESTMENT,2025-07-19,2025-07-19 10:09:56
Fun Republic,Debit Card Payment - streaming subscription,1791.27,ENTERTAINMENT,2024-12-17,2024-12-17 10:09:56
Vijay Sales,home appliances,22227.59,SHOPPING,2025-01-19,2025-01-19 10:09:56
H&M,IMPS Payment - electronics,36486.97,SHOPPING,2024-06-25,2024-06-25 10:09:56
Medical Store Online,home appliances,3000.0,SHOPPING,2025-03-09,2025-03-09 10:09:56
Health Insurance,dental treatment,200.0,HEALTHCARE,2024-06-01,2024-06-01 10:09:56
Photography,Wallet Payment - government fee,86.34,MISCELLANEOUS,2024-07-18,2024-07-18 10:09:56
Zerodha.com,Net Banking - mutual fund SIP,1000.0,INVESTMENT,2024-10-08,2024-10-08 10:09:56
Ola,flight booking,412.75,TRANSPORTATION,2024-09-14,2024-09-14 10:09:56
YouTube Premium,music subscription,399.0,ENTERTAINMENT,2024-07-08,2024-07-08 10:09:56
Taxi Service,metro recharge,1349.84,TRANSPORTATION,2024-07-04,2024-07-04 10:09:56
MX Player,NEFT Transfer - show tickets,160.26,ENTERTAINMENT,2024-09-17,2024-09-17 10:09:56
Diagnostic Center,Net Banking - pharmacy,200.0,HEALTHCARE,2024-09-14,2024-09-14 10:09:56
ALTBalaji,Credit Card Payment - streaming subscription,486.7,ENTERTAINMENT,2025-09-20,2025-09-20 10:09:56
Exam Fee,certification cost,21082.48,EDUCATION,2024-12-28,2024-12-28 10:09:56
TERM INSURANCE,share trading,231905.55,INVESTMENT,2025-09-17,2025-09-17 10:09:56
Biryani Blues,restaurant bill,1717.22,FOOD_DINING,2024-09-28,2024-09-28 10:09:56
Jio,broadband payment,6807.28,UTILITIES,2024-10-11,2024-10-11 10:09:56
Family Doctor,Net Banking - pharmacy,2078.48,HEALTHCARE,2024-11-11,2024-11-11 10:09:56
Medical Store,Mobile Banking - diagnostic test,3176.18,HEALTHCARE,2025-07-15,2025-07-15 10:09:56
HDFC Securities,mutual fund SIP,361906.01,INVESTMENT,2024-11-01,2024-11-01 10:09:56
Parking Fee,RTGS Transfer - uber ride,871.71,TRANSPORTATION,2025-02-22,2025-02-22 10:09:56
Flipkart,household items,2000.0,SHOPPING,2024-08-29,2024-08-29 10:09:56
Dental Clinic,medical emergency,972.46,HEALTHCARE,2024-08-26,2024-08-26 10:09:56
Local Clinic,IMPS Payment - medical emergency,10485.06,HEALTHCARE,2025-09-22,2025-09-22 10:09:56
Behrouz Biryani Store,food court payment,500.0,FOOD_DINING,2024-04-28,2024-04-28 10:09:56
Faasos,canteen recharge,200.0,FOOD_DINING,2024-06-10,2024-06-10 10:09:56
Adventure Park,Wallet Payment - gaming subscription,902.55,ENTERTAINMENT,2024-04-22,2024-04-22 10:09:56
Taxi Service,cab ride,692.03,TRANSPORTATION,2024-12-27,2024-12-27 10:09:56
Behrouz Biryani,party order,300.0,FOOD_DINING,2025-04-25,2025-04-25 10:09:56
Gift Shop Store,government fee,1000.0,MISCELLANEOUS,2025-04-24,2025-04-24 10:09:56
College Fee,exam fee,105230.12,EDUCATION,2024-07-01,2024-07-01 10:09:56
Sagar Ratna,mess fees,768.47,FOOD_DINING,2024-06-27,2024-06-27 10:09:56
Gaming Zone,streaming subscription,199.0,ENTERTAINMENT,2024-09-18,2024-09-18 10:09:56
ICICI Prudential,mutual fund SIP,25000.0,INVESTMENT,2024-10-02,2024-10-02 10:09:56
Postal Service,donation,15671.75,MISCELLANEOUS,2024-06-02,2024-06-02 10:09:56
Wedding Expenses,gift buy,1125.56,MISCELLANEOUS,2024-11-02,2024-11-02 10:09:56
Axis Mutual Fund,portfolio investment,105886.83,INVESTMENT,2025-09-18,2025-09-18 10:09:56
Haldirams,Net Banking - food court payment,100.0,FOOD_DINING,2024-12-31,2024-12-31 10:09:56
Gift Shop,cash withdrawal,34549.99,MISCELLANEOUS,2025-09-14,2025-09-14 10:09:56
Upstox,NEFT Transfer - portfolio investment,1000.0,INVESTMENT,2025-03-31,2025-03-31 10:09:56
Biryani Blues,Net Banking - snacks order,231.98,FOOD_DINING,2024-12-03,2024-12-03 10:09:56
Bowling Alley India,youtube premium,299.0,ENTERTAINMENT,2025-10-07,2025-10-07 10:09:56
Zerodha,stock purchase,10000.0,INVESTMENT,2025-07-10,2025-07-10 10:09:56
Behrouz Biryani,dinner payment,200.0,FOOD_DINING,2025-02-28,2025-02-28 10:09:56
Amazon,laptop buying,11390.06,SHOPPING,2025-05-21,2025-05-21 10:09:56
Punjabi Tadka,UPI Payment - weekend dining,1088.01,FOOD_DINING,2025-03-27,2025-03-27 10:09:56
Printing,government fee,31143.67,MISCELLANEOUS,2024-06-21,2024-06-21 10:09:56
Amazon Prime Ltd,streaming subscription,399.0,ENTERTAINMENT,2024-10-16,2024-10-16 10:09:56
Concert Tickets,Mobile Banking - show tickets,1375.4,ENTERTAINMENT,2024-05-30,2024-05-30 10:09:56
PVR Cinemas,youtube premium,1774.57,ENTERTAINMENT,2024-06-27,2024-06-27 10:09:56
Vistara,IMPS Payment - parking charges,130.53,TRANSPORTATION,2024-08-08,2024-08-08 10:09:56
Dish TV,Wallet Payment - electricity bill,822.57,UTILITIES,2024-05-01,2024-05-01 10:09:56
Supermarket,clothes purchase,15000.0,SHOPPING,2025-03-11,2025-03-11 10:09:56
Toll Plaza,metro recharge,110.52,TRANSPORTATION,2025-09-30,2025-09-30 10:09:56
Seminar,school fee,97314.54,EDUCATION,2025-02-08,2025-02-08 10:09:56
Haldirams,QR Code Payment - office lunch,1022.39,FOOD_DINING,2024-06-03,2024-06-03 10:09:56
Box8,Wallet Payment - food court payment,221.74,FOOD_DINING,2025-08-19,2025-08-19 10:09:56
Local Restaurant,IMPS Payment - lunch order,227.64,FOOD_DINING,2024-11-02,2024-11-02 10:09:56
GoAir,fuel refill,50.0,TRANSPORTATION,2025-01-01,2025-01-01 10:09:56
IndiGo,train ticket,80.0,TRANSPORTATION,2025-03-22,2025-03-22 10:09:56
IOCL,Net Banking - auto fare,65.62,TRANSPORTATION,2024-09-29,2024-09-29 10:09:56
Kotak Securities,systematic investment,2000.0,INVESTMENT,2024-09-17,2024-09-17 10:09:56
Government Services,maintenance,500.0,MISCELLANEOUS,2024-05-03,2024-05-03 10:09:56
AIIMS,Net Banking - medicine purchase,8181.6,HEALTHCARE,2025-04-25,2025-04-25 10:09:56
Zomato,office lunch,150.0,FOOD_DINING,2025-08-04,2025-08-04 10:09:56
Jio,dth recharge,4432.36,UTILITIES,2024-12-06,2024-12-06 10:09:56
Adani Power,electricity bill,5000.0,UTILITIES,2025-08-15,2025-08-15 10:09:56
Food Court,mess fees,341.97,FOOD_DINING,2025-09-22,2025-09-22 10:09:56
Bakery Shop,lunch order,739.69,FOOD_DINING,2024-12-23,2024-12-23 10:09:56
Food Court,lunch order,254.66,FOOD_DINING,2024-12-14,2024-12-14 10:09:56
Unacademy,UPI Payment - coaching classes,51635.4,EDUCATION,2025-04-18,2025-04-18 10:09:56
Kolkata Metro,petrol payment,200.0,TRANSPORTATION,2025-03-12,2025-03-12 10:09:56
Myntra,home appliances,47596.89,SHOPPING,2025-09-03,2025-09-03 10:09:56
Adani Power,broadband pymnt,351.77,UTILITIES,2025-01-10,2025-01-10 10:09:56
Local Clinic Pvt Ltd,eye checkup,1000.0,HEALTHCARE,2025-10-11,2025-10-11 10:09:56
INOX,streaming subscription,149.0,ENTERTAINMENT,2024-06-30,2024-06-30 10:09:56
CLEANING SERVICE,NEFT Transfer - cash withdrawal,5000.0,MISCELLANEOUS,2024-09-13,2024-09-13 10:09:56
Supermarket,UPI Payment - books order,500.0,SHOPPING,2024-10-13,2024-10-13 10:09:56
Franklin Templeton,portfolio investment,50610.36,INVESTMENT,2024-09-17,2024-09-17 10:09:56
Disney+ Hotstar,concert booking,199.0,ENTERTAINMENT,2024-08-25,2024-08-25 10:09:56
University,school fee,89586.45,EDUCATION,2025-09-08,2025-09-08 10:09:56
Myntra,Net Banking - laptop buying,1623.52,SHOPPING,2025-10-13,2025-10-13 10:09:56
Fortis Hospital,medicine purchase,10000.0,HEALTHCARE,2024-11-19,2024-11-19 10:09:56
Tiffin Service,food delivery,1562.96,FOOD_DINING,2024-11-13,2024-11-13 10:09:56
MX Player,youtube premium,199.0,ENTERTAINMENT,2025-01-18,2025-01-18 10:09:56
UTI AMC,tax saving investment,58877.75,INVESTMENT,2025-07-08,2025-07-08 10:09:56
Gaming Zone,show tickets,799.0,ENTERTAINMENT,2025-03-03,2025-03-03 10:09:56
Bakery Shop,food court payment,899.83,FOOD_DINING,2024-10-29,2024-10-29 10:09:56
Angel Broking,systematic investment,87763.76,INVESTMENT,2025-07-09,2025-07-09 10:09:56
WBSEDCL India,gas bill,300.0,UTILITIES,2024-07-09,2024-07-09 10:09:56
Air India,metro recharge,80.0,TRANSPORTATION,2025-06-09,2025-06-09 10:09:56
Adventure Park,youtube premium,860.18,ENTERTAINMENT,2025-08-02,2025-08-02 10:09:56
Vistara,ola booking,175.32,TRANSPORTATION,2024-07-07,2024-07-07 10:09:56
Apollo Hospital,doctor consultation,3000.0,HEALTHCARE,2024-11-02,2024-11-02 10:09:56
ALTBalaji,gaming subscription,799.0,ENTERTAINMENT,2024-05-06,2024-05-06 10:09:56
BSES,cable bill,300.0,UTILITIES,2025-01-20,2025-01-20 10:09:56
Photography,maintenance,25239.42,MISCELLANEOUS,2025-04-04,2025-04-04 10:09:56
Shell,UPI Payment - cab ride,200.0,TRANSPORTATION,2025-07-18,2025-07-18 10:09:56
Bus Booking,toll payment,138.19,TRANSPORTATION,2024-08-27,2024-08-27 10:09:56
Bikanervala,QR Code Payment - weekend dining,146.47,FOOD_DINING,2024-10-26,2024-10-26 10:09:56
Reliance Digital,Net Banking - household items,10990.12,SHOPPING,2025-08-18,2025-08-18 10:09:56
Water Board,society dues,2000.0,UTILITIES,2024-05-28,2024-05-28 10:09:56
Wellness Center Ltd,doctor consultation,2867.0,HEALTHCARE,2024-11-12,2024-11-12 10:09:56
HP Petrol,uber ride,89.07,TRANSPORTATION,2024-05-17,2024-05-17 10:09:56
IRCTC India,uber ride,2047.82,TRANSPORTATION,2025-07-28,2025-07-28 10:09:56
Local Store,clothes purchase,39151.98,SHOPPING,2024-12-28,2024-12-28 10:09:56
ACT Fibernet India,Net Banking - phone bill,1000.0,UTILITIES,2024-11-06,2024-11-06 10:09:56
MSEB,dth recharge,1500.0,UTILITIES,2025-09-14,2025-09-14 10:09:56
BSES.com,electricity bill,726.16,UTILITIES,2024-11-18,2024-11-18 10:09:56
Zara,Net Banking - grocery shopping,4385.12,SHOPPING,2024-10-02,2024-10-02 10:09:56
Taxi Service Pvt Ltd,QR Code Payment - bus ticket,4483.76,TRANSPORTATION,2024-11-21,2024-11-21 10:09:56
Water Park,IMPS Payment - streaming subscription,149.0,ENTERTAINMENT,2025-08-02,2025-08-02 10:09:56
Adani Power Ltd,gas bill,4152.66,UTILITIES,2025-02-12,2025-02-12 10:09:56
Dental Clinic,medical emergency,23857.17,HEALTHCARE,2024-05-06,2024-05-06 10:09:56
Dhaba Express,Wallet Payment - restaurant bill,800.0,FOOD_DINING,2024-09-02,2024-09-02 10:09:56
Spotify,entertainment,799.0,ENTERTAINMENT,2025-03-25,2025-03-25 10:09:56
IOCL,flight booking,1031.89,TRANSPORTATION,2025-01-18,2025-01-18 10:09:56
spotify,concert booking,171.33,ENTERTAINMENT,2025-06-05,2025-06-05 10:09:56
Airtel,RTGS Transfer - internet bill,5294.58,UTILITIES,2025-09-21,2025-09-21 10:09:56
Toll Plaza,monthly pass,4435.32,TRANSPORTATION,2024-10-01,2024-10-01 10:09:56
BookMyShow,music subscription,210.72,ENTERTAINMENT,2024-11-22,2024-11-22 10:09:56
Dhaba Express,QR Code Payment - office lunch,349.62,FOOD_DINING,2025-06-26,2025-06-26 10:09:56
University,Credit Card Payment - school fee,98903.47,EDUCATION,2025-09-01,2025-09-01 10:09:56
VIJAY SALES,electronics,11258.53,SHOPPING,2025-05-24,2025-05-24 10:09:56
Shell,flight booking,3236.68,TRANSPORTATION,2024-12-03,2024-12-03 10:09:56
PVR Cinemas,Debit Card Payment - music subscription,149.0,ENTERTAINMENT,2025-07-21,2025-07-21 10:09:56
Netflix,UPI Payment - gaming,310.0,ENTERTAINMENT,2025-07-06,2025-07-06 10:09:56
Seminar,school fee,15000.0,EDUCATION,2025-08-29,2025-08-29 10:09:56
Axis Mutual Fund,retirement fund,423631.89,INVESTMENT,2024-04-24,2024-04-24 10:09:56
Charity,miscellaneous expense,28013.37,MISCELLANEOUS,2024-12-02,2024-12-02 10:09:56
IndiGo,uber ride,487.03,TRANSPORTATION,2024-11-12,2024-11-12 10:09:56
Tax Payment,Debit Card Payment - maintenance,7029.78,MISCELLANEOUS,2024-12-08,2024-12-08 10:09:56
Sagar Ratna,party order,374.04,FOOD_DINING,2025-01-22,2025-01-22 10:09:56
Max Hospital,doctor consultation,991.55,HEALTHCARE,2025-05-23,2025-05-23 10:09:56
SBI Securities,tax saving investment,5000.0,INVESTMENT,2024-12-28,2024-12-28 10:09:56
Den Networks,internet bill,6940.2,UTILITIES,2025-01-28,2025-01-28 10:09:56
Metro Card,Wallet Payment - ola booking,2039.84,TRANSPORTATION,2025-10-08,2025-10-08 10:09:56
Amazon,grocery shopping,1500.0,SHOPPING,2024-07-18,2024-07-18 10:09:56
Dominos,UPI Payment - party order,200.0,FOOD_DINING,2025-10-14,2025-10-14 10:09:56
Lifestyle,laptop buying,10709.26,SHOPPING,2024-05-27,2024-05-27 10:09:56
HDFC AMC,share trading,25000.0,INVESTMENT,2025-07-31,2025-07-31 10:09:56
Kolkata Metro,bus ticket,2000.0,TRANSPORTATION,2025-05-23,2025-05-23 10:09:56
Petrol Pump,toll payment,1000.0,TRANSPORTATION,2025-05-12,2025-05-12 10:09:56
Amazon,books order,5000.0,SHOPPING,2025-06-22,2025-06-22 10:09:56
FLIPKART,Credit Card Payment - laptop buying,10919.97,SHOPPING,2025-04-08,2025-04-08 10:09:56
Cleaning Service,QR Code Payment - other charges,45661.22,MISCELLANEOUS,2024-05-01,2024-05-01 10:09:56
Reliance Digital,online shopping,2720.28,SHOPPING,2024-10-21,2024-10-21 10:09:56
Electronics Shop,Debit Card Payment - medicine purchase,1463.57,SHOPPING,2025-10-05,2025-10-05 10:09:56
Gift Shop,government fee,435.43,MISCELLANEOUS,2024-10-31,2024-10-31 10:09:56
Bus Booking,bus ticket,2563.18,TRANSPORTATION,2025-07-16,2025-07-16 10:09:56
Pharmacy,medical emergency,10000.0,HEALTHCARE,2025-07-07,2025-07-07 10:09:56
Max Hospital Pvt Ltd,medical emergency,12518.08,HEALTHCARE,2024-05-28,2024-05-28 10:09:56
Airtel,water bill,4245.95,UTILITIES,2024-09-07,2024-09-07 10:09:56
University,coaching classes,20942.83,EDUCATION,2024-11-22,2024-11-22 10:09:56
Pathology Lab,diagnostic test,2292.03,HEALTHCARE,2025-02-14,2025-02-14 10:09:56
Den Networks,Wallet Payment - electricity bill,436.9,UTILITIES,2025-02-17,2025-02-17 10:09:56
Event Management,maintenance,44182.73,MISCELLANEOUS,2025-07-26,2025-07-26 10:09:56
Exam Fee,QR Code Payment - training program,10337.13,EDUCATION,2025-04-17,2025-04-17 10:09:56
Upstox,systematic investment,20180.92,INVESTMENT,2024-09-27,2024-09-27 10:09:56
Netflix,prime subscription,349.11,ENTERTAINMENT,2025-02-06,2025-02-06 10:09:56
Cleaning Service,repair work,5001.17,MISCELLANEOUS,2024-04-29,2024-04-29 10:09:56
Coursera,workshop fee,971.7,EDUCATION,2024-09-06,2024-09-06 10:09:56
Aditya Birla Sun Life,stock purchase,6453.67,INVESTMENT,2024-06-19,2024-06-19 10:09:56
Max Fashion,QR Code Payment - online shopping,1957.05,SHOPPING,2025-04-11,2025-04-11 10:09:56
Udemy,course fee,50000.0,EDUCATION,2025-08-01,2025-08-01 10:09:56
Exam Fee,course fee,15000.0,EDUCATION,2024-12-23,2024-12-23 10:09:56
BSES India,Mobile Banking - phone bill,4230.95,UTILITIES,2024-10-29,2024-10-29 10:09:56
Kotak Securities,bond investment,175918.45,INVESTMENT,2025-06-28,2025-06-28 10:09:56
Udemy,online course,50875.12,EDUCATION,2025-02-23,2025-02-23 10:09:56
Donation,repair work,6099.04,MISCELLANEOUS,2025-06-05,2025-06-05 10:09:56
Wedding Expenses,tax payment,32878.1,MISCELLANEOUS,2025-09-13,2025-09-13 10:09:56
Tata Power,maintenance charges,9945.65,UTILITIES,2024-08-14,2024-08-14 10:09:56
Diagnostic Center Ltd,Debit Card Payment - health insurance,2000.0,HEALTHCARE,2025-06-05,2025-06-05 10:09:56
UTI AMC,mutual fund SIP,5000.0,INVESTMENT,2024-07-15,2024-07-15 10:09:56
Exam Fee,certification cost,4161.63,EDUCATION,2025-02-21,2025-02-21 10:09:56
HDFC AMC.com,stock buy,248242.62,INVESTMENT,2025-09-04,2025-09-04 10:09:56
Charity,Debit Card Payment - personal care,2000.0,MISCELLANEOUS,2025-07-19,2025-07-19 10:09:56
Certification,Net Banking - coaching classes,4129.89,EDUCATION,2025-04-19,2025-04-19 10:09:56
Event Management,Credit Card Payment - gift purchase,565.43,MISCELLANEOUS,2024-09-28,2024-09-28 10:09:56
Toll Plaza,fuel refill,153.03,TRANSPORTATION,2024-06-08,2024-06-08 10:09:56
College Fee India,educational material,2000.0,EDUCATION,2024-12-09,2024-12-09 10:09:56
Workshop,tuition fee,16130.3,EDUCATION,2025-03-09,2025-03-09 10:09:56
Electronics Shop,RTGS Transfer - mobile buy,17492.96,SHOPPING,2024-10-27,2024-10-27 10:09:56
Pharmacy,medical checkup,17252.86,HEALTHCARE,2024-12-27,2024-12-27 10:09:56
Water Board,electricity bill,4214.05,UTILITIES,2024-05-21,2024-05-21 10:09:56
Amazon Prime,prime subscription,999.0,ENTERTAINMENT,2025-01-15,2025-01-15 10:09:56
DSP BlackRock India,mutual fund SIP,434245.69,INVESTMENT,2025-10-09,2025-10-09 10:09:56
Charity,NEFT Transfer - tax payment,1000.0,MISCELLANEOUS,2024-07-04,2024-07-04 10:09:56
Term Insurance,Mobile Banking - share trading,2000.0,INVESTMENT,2025-04-04,2025-04-04 10:09:56
Franklin Templeton,Debit Card Payment - life insurance premium,142049.92,INVESTMENT,2025-09-18,2025-09-18 10:09:56
Local Store,mobile purchase,15000.0,SHOPPING,2024-12-14,2024-12-14 10:09:56
ICICI Prudential Store,systematic investment,371509.77,INVESTMENT,2025-07-25,2025-07-25 10:09:56
Electronics Shop,household items,1000.0,SHOPPING,2025-05-06,2025-05-06 10:09:56
Netflix,concert booking,1499.0,ENTERTAINMENT,2025-02-03,2025-02-03 10:09:56
DTC,train ticket,4623.04,TRANSPORTATION,2025-07-22,2025-07-22 10:09:56
Kotak Securities,life insurance premium,397224.39,INVESTMENT,2025-07-06,2025-07-06 10:09:56
Stationery Shop,Mobile Banking - workshop fee,15000.0,EDUCATION,2025-05-11,2025-05-11 10:09:56
Government Services,government fee,10000.0,MISCELLANEOUS,2024-07-24,2024-07-24 10:09:56
Franklin Templeton,portfolio investment,1000.0,INVESTMENT,2024-11-07,2024-11-07 10:09:56
Kolkata Metro,UPI Payment - train ticket,3107.13,TRANSPORTATION,2025-02-06,2025-02-06 10:09:56
Starbucks,IMPS Payment - food court pymnt,250.0,FOOD_DINING,2024-11-03,2024-11-03 10:09:56
Courier Service,government fee,5000.0,MISCELLANEOUS,2024-07-18,2024-07-18 10:09:56
Axis Mutual Fund.com,IMPS Payment - share trading,25000.0,INVESTMENT,2024-08-07,2024-08-07 10:09:56
UNACADEMY,coaching classes,102814.25,EDUCATION,2025-01-04,2025-01-04 10:09:56
Videocon D2H,cable bill,5000.0,UTILITIES,2024-11-30,2024-11-30 10:09:56
Seminar,exam fee,95913.59,EDUCATION,2025-07-06,2025-07-06 10:09:56
Wedding Expenses,other charges,945.17,MISCELLANEOUS,2024-11-23,2024-11-23 10:09:56
